Entry,Study,Expt,Smax,powa,powb,Smin,FinalT
7,3,3,5,-5.0077,0.0138,1,Y
8,3,4,5,-4.0915,0.0737,1,Y
9,3,5,5,-3.4052,0.1901,1,Y
10,3,6,5,-3.4291,0.3516,1,Y
11,3,7,5,-2.7379,0.1796,1,Y
12,3,8,5,-2.7843,0.1082,1,Y
13,3,9,5,-2.6151,0.2491,1,Y
14,3,10,5,-2.5514,0.2597,1,Y
23,4,11,72,2.5065,0.1528,1,N
24,4,11,72,1.2316,0.2265,1,N
25,4,11,72,0.8189,0.2209,1,Y
57,11,24,3,0.355,0.1863,1,Y
58,11,24,3,0.4653,-0.0148,1,Y
59,12,25,3,NA,NA,1,Y
77,16,29,8,-1.1634,0.0618,1,Y
79,16,30,8,-1.2278,0.0608,1,Y
81,16,31,8,-1.3733,0.0096,1,Y
82,17,32,3,-4.8003,0.3328,1,Y
89,20,37,4,-1.251,0.0158,1,Y
192,33,66,20,1.2996,-0.3192,10,Y
193,33,67,20,4.2871,-1.1919,10,Y
194,33,68,20,-0.03,-0.0965,10,Y
195,33,69,20,3.7649,-0.8104,10,Y
210,38,79,8,-1.6289,0.2079,10,Y
212,39,80,3,-2.638,0.5144,1,Y
214,40,81,6,-3.5204,0.1716,1,Y
215,41,82,3,0.3613,1.0507,1,Y
216,41,83,3,3.2744,-0.0637,1,Y
219,42,86,3,-1.6948,0.1571,1,Y
220,42,87,3,-1.9952,0.6316,1,Y
226,43,88,3,-4.2644,0.4958,1,N
227,43,88,3,-3.4348,-0.0651,1,N
228,43,88,3,-3.2201,0.0971,1,N
229,43,88,3,-3.1685,0.1367,1,N
230,43,88,3,-3.1017,0.5602,1,Y
376,62,120,43,1.0169,0.2512,1,Y
377,62,121,43,2.0196,0.1618,1,Y
491,75,147,5,2.5051,0.9701,1,Y
492,75,148,5,1.214,0.1013,1,Y
533,83,158,8,-1.7694,0.4948,1,Y
571,90,180,3,NA,NA,1,Y
573,90,181,3,NA,NA,1,Y
575,90,182,3,NA,NA,1,Y
577,90,183,3,NA,NA,1,Y
579,90,184,3,NA,NA,1,Y
581,90,185,3,NA,NA,1,Y
594,92,187,3,0.9043,-0.6547,1,Y
595,92,188,3,-0.5922,1.2184,1,Y
596,92,189,3,0.9316,0.948,1,Y
791,113,279,3,-1.7681,0.0384,1,Y
792,113,280,3,-1.7702,0.0452,1,Y
793,113,281,3,-2.2114,0.2513,1,Y
794,113,282,3,-2.1968,0.2389,1,Y
795,113,283,3,-2.9634,-0.0732,1,Y
796,113,284,3,-3.2487,0.2088,1,Y
797,113,285,3,-2.0182,0.0632,1,Y
798,113,286,3,-1.9927,-0.0057,1,Y
873,125,333,3,-6.1633,-0.0444,1,Y
874,125,333,3,-6.0665,0.0099,1,Y
875,125,333,3,-5.7696,-0.2387,1,Y
876,125,333,3,-5.9831,-0.2569,1,Y
883,127,336,4,-1.8735,-0.0988,1,Y
884,127,337,4,-1.4199,-0.201,1,Y
990,149,399,16,-1.8001,-0.24,1,Y
992,149,400,16,-1.5907,-0.1512,1,Y
1108,143,365,3,-2.3838,-0.4005,1,Y
